contract_type,detail_url,job_type,location,salary,title
Permanent,/jobs/risk-data-analyst/52190438?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Loughborough,Competitive salary,Risk Data Analyst
Permanent,/jobs/data-analyst-trainee/51996554?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Dudley, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51992303?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Milton Keynes, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51958412?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,London, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51943801?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,London, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51992272?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Blackpool, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51962352?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Crayford, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51961479?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Harrow On The Hill, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51961038?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Luton, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51924655?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Ilford, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51958154?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Derby, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51923421?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,"Newport, Gwent", Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51896488?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Reading, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51883723?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Birkenhead, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51879760?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Widmore, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51862855?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Cardiff, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51854986?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Edinburgh, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51854978?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Leeds, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51853182?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Glasgow, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51854341?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Leicester, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/52027784?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,York, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/52001196?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Swindon, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/52000925?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Sutton Coldfield, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/52007539?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Crawley, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/52007487?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,West London, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/52019423?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Warrington, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51993228?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,London, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51992697?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Northampton, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51996431?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Barking, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51996617?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Twickenham, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51927559?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Southend-on-Sea, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51943865?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Belfast, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51927375?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Swansea, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51962429?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Southampton, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51961068?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,Wolverhampton, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51941187?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2,full-time,London, Training Course,Data Analyst Trainee
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Contract,/jobs/data-governance-analyst/52168319?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Netherlands,€95 - €110 per hour,Data Governance Analyst
Permanent,/jobs/risk-data-analyst/52190438?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Loughborough,Competitive salary,Risk Data Analyst
Permanent,/jobs/data-analyst-trainee/51958928?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Romford, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51919444?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,Uxbridge, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51923558?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,London, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51883781?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,East London, Training Course,Data Analyst Trainee
Permanent,/jobs/data-analyst-trainee/51870481?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3,full-time,East London, Training Course,Data Analyst Trainee
